"","intercept","d"
"1",-0.0184429601024923,-0.270561939635242
"2",0.0553238700754373,-0.371958209755098
"3",-0.0231314044054538,-0.455343995953975
"4",0.0154894726772012,-0.327177624139116
"5",-0.00739717565019893,-0.319509552759255
"6",-0.0391025465331622,-0.353874083618323
"7",-0.00665916962995773,-0.22113636578062
"8",0.0365407172175438,-0.107097989352064
"9",-0.039018081592626,-0.238673937112121
"10",-0.0071929087766512,-0.160115330550332
"11",0.000684856222836057,-0.0393958350458785
"12",0.00858749383136234,-0.280616953048385
"13",0.0111127911583963,-0.224704657666189
"14",-0.0708289963605531,-0.473982812256193
"15",-0.0291586248312337,-0.657090524600802
"16",0.0427936160103023,-0.191975066905014
"17",0.0250428088844587,-0.168601149054312
"18",0.0308751922810411,-0.295741798962688
"19",-0.0526457020753756,-0.4025796300346
"20",-0.00909722409039206,-0.0338555992649568
"21",-0.0397971379156586,-0.4899601042989
"22",-0.0491207661675668,-0.429794458546734
"23",0.0324435602729772,-0.244372538944905
"24",-0.0131146938224222,-0.261816516109533
"25",0.0325780350208828,-0.359189884082355
"26",-0.023693722753571,-0.206181359827879
"27",-0.00382780211592597,-0.179634073331295
"28",0.00719915614551457,-0.176224844137239
"29",-0.0283719037972555,-0.377701461481676
"30",0.0192496737925206,-0.314207507626843
"31",0.0554655355386873,-0.43708652644511
"32",-0.0628936765308779,-0.197395858680969
"33",-0.0533356945361182,-0.241289401398129
"34",0.0228024100149536,-0.134958484372669
"35",-0.0148219391235859,-0.28640950396169
"36",-0.015796504072948,-0.177495282948027
"37",0.00439282856067043,-0.354365930921871
"38",-0.0120710700474027,-0.463199554764414
"39",0.0145638017499689,-0.141123991258542
"40",-0.0770778434738187,-0.313721433348465
"41",-0.0130585572909944,-0.365260085863341
"42",0.00470642819975684,-0.271632067016725
"43",0.0152608005702251,-0.139503897482767
"44",0.0339555523346564,-0.275080189046551
"45",0.0220568416011991,-0.187925395833084
"46",0.0290216794041345,-0.284874491604107
"47",0.0111084137531565,-0.2297808656577
"48",0.00996302592486877,-0.20777921364825
"49",-0.038440959185385,-0.203791898734228
"50",-0.0702279789276044,-0.272068960042014
"51",-0.0356680942645953,-0.246322974658492
"52",0.0546979784189196,-0.151826434390926
"53",0.00357919264051822,-0.335878185803339
"54",0.0422465462029737,-0.174077703659431
"55",-0.0208225195128395,-0.235530090549881
"56",-0.0493962861433155,-0.202572280894445
"57",-0.027542785640739,-0.286055939323698
"58",-0.00629529406221269,-0.0616241528817418
"59",-0.00949507324578183,-0.174437326876319
"60",0.00126866161770867,-0.286547122211685
"61",0.0302861368147965,-0.356126722031085
"62",-0.00860573824948402,-0.262060462123643
"63",-0.0143765408025791,-0.236862232330452
"64",0.029317072197289,-0.308330089784066
"65",0.0611337444908046,-0.282779760810593
"66",0.022495890679553,-0.289248431840412
"67",0.0156712887151002,-0.200676835264239
"68",0.0628262845533256,-0.170134296609799
"69",-0.0228134348634168,-0.213539645182797
"70",-0.0118397416951658,-0.251008382162691
"71",0.0215559953791309,-0.220181361980081
"72",0.0263831504478986,-0.396061610702997
"73",0.0129809139871403,-0.244188541013021
"74",0.0105796568225238,-0.200941380642922
"75",0.0407389858613055,-0.271251648443573
"76",-0.0204954609219505,-0.516404856097644
"77",-0.0957683515051223,-0.469280453805014
"78",-0.0721029909131561,-0.269141228356835
"79",-0.0851431742579899,-0.80233618835588
