"","intercept","d","d_l1","y_l1"
"10",0.259259593988642,0.547856026006566,-0.599414284541523,0.453158341770726
"11",0.153824812654289,0.62617424736668,-0.699459127821866,0.289295305890503
"12",0.00513482325410167,0.182145750275039,-0.120953316173199,0.339333177360676
"13",-0.0634630587421593,0.351583916461511,-0.244717280967562,0.610854918865583
"14",0.0655709152028996,0.585280953674758,-0.334151560968315,0.276927929874857
"15",-0.0877879090388678,0.808005159845374,-0.78748916497296,0.476055711815917
"16",0.315949458866784,-0.110672976043875,0.43477615721387,0.430937603662438
"17",-0.0943806585962895,-0.385087123099688,-0.280573612297878,1.36769629689425
"18",-0.158788576469937,0.0959516701743638,-0.087721721662453,0.604322667644282
"19",-4.63413956520395,49.6713968383489,-26.0602205336758,-29.8424659760862
"20",-0.0502136489053983,0.930519755023684,-0.903146048421203,0.428897386923506
"21",0.17229406008863,-3.71816823317819,1.3011482180031,3.96098228069822
"22",0.511290059868249,-2.93363440986525,2.1079756571611,1.20137148299781
"23",-0.167533865126716,0.102761666866503,-0.301876959844447,0.933704145218265
"24",0.088817640105091,0.619172027906892,-0.522214604392354,0.341219568779967
"25",0.00476847788421383,1.01306819961757,-0.681213021504085,-0.0212099619284373
"26",-0.067368782625243,-0.0883843029669613,-0.617041521676267,1.077827070679
"27",-0.0779629419446933,-0.173707172294964,-0.288754706949445,1.11622988565353
"28",0.658960217627982,2.21593662586053,-0.937952762140688,-1.18017325570231
"29",-0.3393037665985,-2.22933601182341,0.118159083666974,2.49394627888525
"30",0.0702637644066235,0.634952079906713,-0.590146624374417,0.267081134807423
"31",0.298302490025621,-0.284365521801692,-0.165146883553747,1.1059855911299
"32",0.60059671821958,-1.53745213508245,1.21003201505687,1.10756269523327
"33",-0.183718848037937,-0.0793737089604755,-0.0556624949738129,0.923103439944727
"34",-0.0699971392224918,-0.569453199627279,-0.0073258293404276,1.13620952798302
"35",-0.487224540704084,-5.09276889216058,1.79954092086675,5.42809683836738
"36",0.00843890176148352,2.87635007190506,-1.58173755236104,-1.51228054038311
"37",-0.049820920167964,0.142188759446377,-0.69598388514932,1.02724435187193
"38",-1.29454573274534,-6.15544495560761,4.39828003982969,5.47930761062301
"39",0.108335532991917,0.201406473340225,-0.405207706550062,0.644477423979765
"40",0.0372419004733174,0.805120764109056,-0.308948263501595,0.0331674067019407
"41",-0.119648297593915,1.04501652313135,-0.873820259343518,0.157789272318353
"42",0.00675531421716053,-0.317284255016087,-0.303186630385658,1.48820830313868
"43",-0.120531416615329,0.356397622942955,-0.384440619605013,0.408798911867404
"44",0.0795178316920225,-0.49777608010651,-0.653572148574683,1.61263005486841
"45",2.22735633078456,-8.76214109520652,4.90333713352416,7.61740078027837
"46",-1.01807080488989,8.18835289569011,-6.38076902249242,-2.33441338336322
"47",-0.231501477916326,2.37901281352694,-1.86538260025676,-0.36035798806692
"48",0.0912325161744873,0.249700925492062,-0.127258440369314,0.678407670177458
"49",-0.386669351434619,2.10922444915814,-0.687032085588846,-1.27104311830408
"50",-0.221103653582588,-1.52463219289919,0.637847455264653,1.64815365385415
"51",-0.198337321170357,0.254689329541358,-0.596864392107446,0.837157620210139
"52",-0.209111621661326,-0.46384660618015,-0.0736414256989212,1.51192161848542
"53",-0.980370167307587,-4.00627980914471,2.59231117017388,2.75310000286538
"54",0.205852181234004,-5.29108722996667,0.479416234732761,5.88046069013801
"55",0.330744443837861,2.81548709814631,-1.38709107107341,-1.42468582041058
"56",0.899749103998347,-14.4642936938768,8.66937502165061,10.0165543737564
"57",0.435322001430293,-0.608013809090828,0.468273610970369,0.896622891554966
"58",-0.158753983729558,0.195553700501437,-0.310300362765953,0.518271261072883
"59",0.0625253264687248,0.0273813149487994,0.02052305029984,0.50674783979169
"60",0.309949201766815,0.86704841045096,-0.79260968020869,0.384544286379609
"61",0.329176951105646,-1.04611283871034,0.58837850166383,1.24182063792686
"62",-0.112273039140083,0.424783341946331,-0.451322400968334,0.616303573473591
